country,SP_use,year
Burkina Faso,1.6374808,2010
Cameroon,0.2129921,2011
Cameroon,2.3543716,2018
Democratic Republic of the Congo,2.5125973,2007
Ethiopia,0.9320515,2005
Ghana,0.3448822,2006
Ghana,3.7196157,2014
India,4.4663916,2015
India,6.093508,2019
Kenya,23.3720069,2000
Kenya,9.7302827,2003
Kenya,3.2064529,2008
Kenya,0.3391992,2015
Malawi,24.1830003,2000
Malawi,20.3177361,2006
Malawi,0.394543,2012
Mali,4.3118813,2012
Mali,2.1831539,2018
Mozambique,1.9735498,2015
Nigeria,0.3111734,2003
Nigeria,5.0817916,2008
Nigeria,9.3141954,2010
Nigeria,3.9057563,2015
Pakistan,0.9305143,2017
Senegal,0.4272229,2008
Senegal,0,2014
Sierra Leone,0.5007099,2016
Tanzania,22.9231562,2004
Tanzania,4.5504944,2007
Tanzania,1.9389947,2011
Uganda,3.7695303,2009
Uganda,1.7141932,2011
Uganda,0.9532823,2014
Zambia,2.7316238,2013
